Saison,Date,Player1,A/C P1,Player2,A/C P2,Score P1,Score P2
22,20220607_01,Mickael,F-16C,Nathan,F-16C,0,3
22,20220607_02,Mickael,F-16C,Thomas,F-16C,2,1
22,20220607_03,Nathan,F-16C,Mathieu,F-16C,1,2
22,20220607_04,Mathieu,F-16C,Thomas,F-16C,2,1
22,20220613_01,Nathan,F-16C,Thomas,F-16C,3,0
22,20220613_02,Nathan,F-16C,Mickael,F-16C,2,1
22,20220613_03,Thomas,F-16C,Mathieu,F-16C,2,1
22,20220613_04,Mickael,F-16C,Mathieu,F-16C,2,1
22,20220613_05,Mickael,F-16C,Nathan,F-16C,2,1
22,20220613_06,Nathan,F-16C,Mathieu,F-16C,2,1
22,20220620_01,Mathieu,F-16C,Nathan,F-16C,1,2
22,20220620_02,Mathieu,F-16C,Mickael,F-16C,2,1
22,20220620_03,Mickael,F-16C,Nathan,F-16C,0,3
22,20220627_01,Nathan,F-16C,Mathieu,F-16C,2,1
22,20220627_02,Nathan,F-16C,Mickael,F-16C,2,1
22,20220705_01,Thomas,F-16C,Mickael,F-16C,2,1
22,20220705_02,Thomas,F-16C,Nathan,F-16C,0,3
22,20220705_03,Thomas,F-16C,Mathieu,F-16C,0,3
22,20220705_04,Enzo,F-16C,Thomas,F-16C,2,1
22,20220705_05,Nathan,F-16C,CoubyStark,F-16C,1,2
22,20220705_06,Mickael,F-16C,Nathan,F-16C,0,3
22,20220719_01,Thomas,F-16C,Thibault,F-16C,3,0
22,20220719_02,Mickael,F-16C,Mathieu,F-16C,0,3
22,20220719_03,Enzo,F-16C,Nathan,F-16C,1,2
22,20220719_04,Mathieu,F-16C,Thomas,F-16C,3,0
